collision_id,crash_date_crash,crash_time_crash,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1,vehicle_type_code1
4512922,2022-03-23,10:00,UNKNOWN,,,,0,0,PEDESTRIAN/BICYCLIST/OTHER PEDESTRIAN ERROR/CONFUSION,BIKE
4456659,2021-07-09,0:43,UNKNOWN,,40.720535,-73.88885,0,1,UNSPECIFIED,BUS
4521660,2022-04-24,16:45,UNKNOWN,,40.607685,-74.13892,1,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4521759,2022-04-24,4:49,UNKNOWN,,40.855972,-73.869896,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4522226,2022-04-22,17:17,UNKNOWN,,40.790276,-73.9396,1,0,TRAFFIC CONTROL DISREGARDED,E-BIKE
4522015,2022-04-24,1:30,BROOKLYN,11220.0,40.642986,-74.01621,0,0,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE
4521460,2022-04-24,6:00,QUEENS,11411.0,0.0,0.0,0,0,UNSAFE LANE CHANGING,SEDAN
4522156,2022-04-24,21:40,BRONX,10452.0,40.843906,-73.92413,0,0,ALCOHOL INVOLVEMENT,TAXI
4521633,2022-04-24,17:45,BRONX,10466.0,40.89481,-73.86183,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4522124,2022-04-15,6:11,UNKNOWN,,0.0,0.0,1,0,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE
4521937,2022-04-24,9:51,UNKNOWN,,40.85169,-73.95238,0,0,UNSPECIFIED,SEDAN
4521801,2022-04-24,0:00,BRONX,10453.0,40.861862,-73.91275,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4522285,2022-03-08,20:00,BROOKLYN,11207.0,40.666256,-73.900215,0,0,UNSPECIFIED,SEDAN
4521853,2022-04-24,15:35,MANHATTAN,10019.0,40.767242,-73.986206,1,0,VIEW OBSTRUCTED/LIMITED,STATION WAGON/SPORT UTILITY VEHICLE
4522228,2022-04-22,12:00,BROOKLYN,11230.0,40.62417,-73.97048,1,0,UNSPECIFIED,SEDAN
4521702,2022-04-24,13:10,UNKNOWN,,40.679955,-73.97491,0,0,TURNING IMPROPERLY,STATION WAGON/SPORT UTILITY VEHICLE
